value,productivity,cost,area
-0.3114584196764887,-0.43190895781749544,-0.36586460880753,-0.4890344194345643
-0.31112781446619187,-0.4318505474635092,-0.3653460394363656,-0.4890109356683802
-0.31112781446619187,-0.4318382172080584,-0.36533994036255735,-0.48898734259108484
-0.31112781446619187,-0.43156693098118337,-0.36531192921981787,-0.48894437829826637
-0.31112781446619187,-0.4314370654835275,-0.3650117105173387,-0.48882567718554126
-0.31098165773189385,-0.43126131626855757,-0.3647629922698844,-0.4887036292763792
-0.31098165773189385,-0.4308833916401142,-0.36466903741096657,-0.4887010214702882
-0.3109684308781112,-0.43087967227903196,-0.36461786577714816,-0.4886963883396662
-0.3109684308781112,-0.43086043158343323,-0.36441079328936044,-0.48867786439753713
-0.3107964817789371,-0.4303657279054302,-0.36434457433097606,-0.4886373549143254
-0.31066487458379993,-0.43017441482548247,-0.36429917139207774,-0.4886261114061954
-0.3104658104343714,-0.4300536233679023,-0.36428867955439015,-0.4886230664457802
-0.3104658104343714,-0.4298837417947078,-0.36415600561498207,-0.4885612339454337
-0.3104658104343714,-0.42961813609634597,-0.36414107603970514,-0.4884871480538304
-0.3099162346597032,-0.4296093537237402,-0.3634534839302665,-0.48848200257833146
-0.30980446774524,-0.429387150167907,-0.36339283141915185,-0.48843571785990314
-0.3096614986827036,-0.42908829415110744,-0.36324058610391896,-0.48843285070184894
-0.3092697457273697,-0.4289972664525134,-0.3631020677973806,-0.4884308859504406
-0.30914312505610864,-0.4288786902941942,-0.36253788280938964,-0.4884173372427353
-0.30914312505610864,-0.4288729967675234,-0.36235243908006703,-0.48838651856189375
-0.3090465028892265,-0.42868553926546427,-0.36222882733233913,-0.48835960160449343
-0.3089447222493692,-0.4285304386201251,-0.3617691461591482,-0.48834365929329526
-0.3089447222493692,-0.4284928595219059,-0.3614175755792396,-0.48814905820681265
-0.3089447222493692,-0.4280562134914183,-0.36140329738964255,-0.4880569229520387
-0.3089447222493692,-0.42783798692414626,-0.3614018348700501,-0.487970246245395
-0.30866183952752013,-0.42773037955074195,-0.3613846069199233,-0.48796134979439665
-0.30853468978210774,-0.4273393993410767,-0.3609418178156033,-0.48787100728278227
-0.30853468978210774,-0.42731689916762045,-0.3608202329488647,-0.48776490122782584
-0.3084817823669772,-0.4272780281358974,-0.3606813930169943,-0.4877620912583006
-0.3084817823669772,-0.42697066678908013,-0.360631055706933,-0.48774041972173254
-0.3084817823669772,-0.4266235036532647,-0.36055458568688614,-0.48760705850022196
-0.3084817823669772,-0.4262393376399739,-0.35987296947914976,-0.48757542073292
-0.3082799934856695,-0.4257526690624848,-0.35981364254469306,-0.48752438587106
-0.3082193483610761,-0.4255578488282613,-0.35980943052965036,-0.4874924589482087
-0.30811546465146733,-0.42553884891357824,-0.3593041304458799,-0.4874599687438078
-0.3074897683332802,-0.4251798442737245,-0.35924720012925804,-0.48745272466602263
-0.3074897683332802,-0.4248098006903147,-0.35911822691488177,-0.4874299449613862
-0.30734639585170337,-0.42407863914905325,-0.3589493439290936,-0.48735233512541176
-0.30715909698871446,-0.4239196427913804,-0.35893515078379273,-0.48728071436388076
-0.30715909698871446,-0.4238147522431273,-0.3589302714142529,-0.48716455563011507
-0.30715909698871446,-0.42373497424391277,-0.35864300419079304,-0.48702196382379764
-0.307133079767324,-0.42358484303396216,-0.35863652916348326,-0.48690056256027187
-0.307133079767324,-0.42283631875515815,-0.35849425642468563,-0.48678409063752953
-0.307133079767324,-0.42259835771901283,-0.3584516762073892,-0.48676689580708865
-0.30682842564414875,-0.42244639105575676,-0.3584397636865873,-0.48672366694616337
-0.30682842564414875,-0.4224354096400864,-0.358132697508302,-0.4867192293416036
-0.30657711542227883,-0.4222665507852921,-0.3580780534454131,-0.4866955937263121
-0.30657711542227883,-0.4221916609609709,-0.35793366948772143,-0.4866557627528343
-0.3064150864634417,-0.42199491761435065,-0.35773364384382084,-0.48662383103879503
-0.30620907821577725,-0.4219571826228713,-0.3573074006532356,-0.4865903776371971
-0.3058364116104517,-0.4219440412287375,-0.3568035292901681,-0.4865774604138496
-0.3058364116104517,-0.42159595167952474,-0.3567413578196882,-0.4865643018619976
-0.3058364116104517,-0.4214962967999714,-0.356585526493595,-0.4864294238327916
-0.3058364116104517,-0.4213924171488638,-0.3563448258987081,-0.48636700046282183
-0.3058364116104517,-0.42102236616654626,-0.3560908569604839,-0.4863383892716762
-0.3058364116104517,-0.4209692544489799,-0.35580155991142853,-0.4861959666323736
-0.3057000030673915,-0.4209152034781037,-0.35541458078883365,-0.48598538986513307
